ספר,פרשה,מקבילה לפרשת,חידה מס’,חידה
יהושע,יהושע,בראשית,1,"את מה נשאו הכהנים, כשבתוך הירדן היו עומדים?"
יהושע,יהושע,בראשית,2,"לאן באו שני המרגלים, שיהושע שלח מן השִטים?"
יהושע,יהושע,בראשית,3,"איפה היו ערוכות הפִשתים, ששם החביאה רחב את המרגלים?"
יהושע,יהושע,בראשית,4,"לאן יצאו הרודפים, לנסות להשיג את המרגלים?"
יהושע,יהושע,בראשית,5,"לאן אמרה רחב למרגלים, שאליהם ללכת לשלשה ימים?"
יהושע,יהושע,בראשית,6,"מה ציוה ה' את יהושע, שיעסוק בספר יומם ולילה?"
יהושע,יהושע,בראשית,7,"איזה ארץ נשבע ה' שיתן לאבותם, אבל גם נשבע לבלתי הראותם?"
יהושע,יהושע,בראשית,8,"עם מה יהושע מל את הזכרים, ואז את הפסח היו עושים?"
יהושע,יהושע,בראשית,9,"מתי עלתה רחב למרגלים, והם החליפו עמה דברים?"
יהושע,יהושע,בראשית,10,"שם המנהיג של ישראל החדש, שהכניס לארץ ואותה כבש?"
יהושע,יהושע,בראשית,11,"מי עמדו בתוך הירדן, לפני ישראל הלכו הָכֵן?"
יהושע,יהושע,בראשית,12,"מה ליהושע אמר המלאך, כששאלו האם מאויבינו הלך?"
יהושע,יהושע,בראשית,13,"מה שבת ממחרת הפסח, אחרי שעומר הביאו בזבח?"
יהושע,יהושע,בראשית,14,"מה המרגלים אמרו שהם יהיו, אם משפחתה של רחב מהדלת יצאו?"
יהושע,יהושע,בראשית,15,"מה עשו לשער האנשים, שיצאו לרדוף אחרי המרגלים?"
יהושע,יהושע,בראשית,16,"מתי עלו ישראל מהירדן, ואז הכהנים עמדו הָכֵן?"
יהושע,יהושע,בראשית,17,"איזה חג חגגו ישראל, אחרי שנימולו במצות האל?"
יהושע,יהושע,בראשית,18,"מה השוטרים אמרו לעם שיכינו, כי עוד מעט את הירדן יעבורו?"
יהושע,יהושע,בראשית,19,"היכן עברו השוטרים, לפני שנסעו מהשִטים?"
יהושע,יהושע,בראשית,20,"איך נקראים אותם אנשים, שאחרי המרגלים הם מחפשים?"
יהושע,יהושע,בראשית,21,"כמה ימים אמרו השוטרים, שנשארו לעם לפני שהם עוברים?"
יהושע,יהושע,בראשית,22,"איך נקרא הסמל, שעל החלון כמו דגל?"
